School,ID,CoNo,StNo,Long,Lat,Low,High,Students
BOSTON COLLEGIATE CHARTER SCHOOL,2.50005E+11,25,25,-71.0607,42.3218,5,12,632
BOSTON COMMUNITY LEADERSHIP ACADEMY,2.50279E+11,25,25,-71.1179,42.2628,9,12,521
BOSTON DAY AND EVENING ACADEMY CHARTER SCHOOL,2.50005E+11,25,25,-71.0818,42.327,9,12,368
BOSTON GREEN ACADEMY HORACE MANN CHARTER SCHOOL,2.50053E+11,25,25,-71.045,42.3329,9,12,324
BOSTON INTERNATIONAL  HIGH SCHOOL,2.50279E+11,25,25,-71.0809,42.2812,9,12,345
BOSTON LATIN,2.50279E+11,25,25,-71.1018,42.3381,7,12,2379
BOSTON LATIN ACADEMY,2.50279E+11,25,25,-71.0845,42.3162,7,12,1689
BOSTON MIDDLE SCHOOL ACADEMY,2.50279E+11,25,25,-71.0502,42.3334,7,8,10
BOSTON PREPARATORY CHARTER PUBLIC SCHOOL,2.50008E+11,25,25,-71.1238,42.2548,6,12,371
BOSTON RENAISSANCE CHARTER  PUBLIC SCHOOL,2.50004E+11,25,25,-71.1269,42.2504,-1,6,939
BOSTON TEACHERS UNION SCHOOL,2.50279E+11,25,25,-71.116,42.2947,-1,8,330
BOURNE HIGH SCHOOL,2.50282E+11,1,25,-70.5926,41.7387,9,12,476
BOURNE MIDDLE SCHOOL,2.50282E+11,1,25,-70.5899,41.7382,5,8,747
BOURNEDALE ELEMENTARY SCHOOL,2.50282E+11,1,25,-70.5802,41.7613,-1,4,502
BOUTWELL,2.51305E+11,17,25,-71.1885,42.5466,-1,0,151
BOUTWELL SCHOOL,2.5055E+11,17,25,-71.5727,42.6132,-1,-1,57
BOWE,2.50366E+11,13,25,-72.6088,42.1408,-1,5,433
BOWEN,2.50861E+11,17,25,-71.1879,42.3217,0,5,502
BOWIE,2.50366E+11,13,25,-72.5613,42.1979,0,5,370
BOWMAN,2.50684E+11,17,25,-71.2182,42.4239,0,5,543
BOYDEN,2.51197E+11,21,25,-71.2587,42.1057,0,5,440
BOYLSTON ELEMENTARY,2.50291E+11,27,25,-71.742,42.3334,-1,5,315
BRACKETT,2.50198E+11,17,25,-71.1763,42.4123,0,5,481
BRADFORD ELEMENTARY,2.50597E+11,9,25,-71.0695,42.7573,0,5,584
BRAINTREE HIGH,2.50294E+11,21,25,-71.0198,42.2041,9,12,1723
BRAYTON,2.50867E+11,3,25,-73.1371,42.6967,-1,7,532
BREED MIDDLE SCHOOL,2.50711E+11,9,25,-70.985,42.4706,6,8,1220
BRICKETT ELEMENTARY,2.50711E+11,9,25,-70.931,42.4661,1,5,302
BRIDGE,2.50684E+11,17,25,-71.2444,42.4387,0,5,549
BRIDGE BOSTON CHARTER SCHOOL,2.50053E+11,25,25,-71.0856,42.3012,-1,2,146
BRIDGE STREET,2.50885E+11,15,25,-72.6266,42.3234,-1,5,308
BRIDGEWATER MIDDLE SCHOOL,2.50303E+11,23,25,-70.9835,41.9896,7,8,562
BRIDGEWATER-RAYNHAM REGIONAL,2.50303E+11,23,25,-70.9848,41.989,9,12,1536
BRIGGS ELEMENTARY,2.50204E+11,27,25,-71.9269,42.6146,-1,5,518
BRIGHTON HIGH,2.50279E+11,25,25,-71.1456,42.3491,9,12,989
BRIGHTWOOD,2.51113E+11,13,25,-72.6148,42.1199,0,5,358
BRIMFIELD ELEMENTARY,2.50306E+11,13,25,-72.2022,42.1193,-1,6,307
BRISCOE MIDDLE,2.50264E+11,9,25,-70.8786,42.5601,6,8,932
BRISTOL COUNTY AGRICULTURAL HIGH,2.50307E+11,5,25,-71.115,41.8351,9,12,451
BRISTOL-PLYMOUTH VOCATIONAL TECHNICAL,2.50308E+11,5,25,-71.0546,41.8834,9,12,1287
BROAD MEADOWS MIDDLE,2.50987E+11,21,25,-70.9844,42.2602,6,8,332
BROADMEADOW,2.50837E+11,21,25,-71.2085,42.2791,0,5,585
BROCKTON CHAMPION HIGH SCHOOL,2.50309E+11,23,25,-71.023,42.0825,9,12,194
BROCKTON HIGH,2.50309E+11,23,25,-71.0442,42.0673,9,12,4146
BROMFIELD,2.50588E+11,27,25,-71.5849,42.4975,6,12,709
BROOKE CHARTER SCHOOL EAST BOSTON,2.50054E+11,25,25,-71.0353,42.3744,0,6,288
BROOKE CHARTER SCHOOL MATTAPAN,2.50053E+11,25,25,-71.0357,42.3392,0,7,360
BROOKE CHARTER SCHOOL ROSLINDALE,2.50007E+11,25,25,-71.1221,42.2818,0,8,492
BROOKFIELD,2.50309E+11,23,25,-71.0118,42.1169,0,5,686
BROOKFIELD ELEMENTARY,2.50312E+11,27,25,-72.0971,42.214,-1,6,316
BROOKLINE EARLY EDUCATION PROGRAM AT BEACON,2.50315E+11,21,25,-71.1292,42.3332,-1,-1,52
BROOKLINE EARLY EDUCATION PROGRAM AT PUTTERHAM,2.50315E+11,21,25,-71.1525,42.3023,-1,-1,28
BROOKLINE HIGH,2.50315E+11,21,25,-71.1287,42.3329,9,12,1832
BROOKS SCHOOL,2.50756E+11,17,25,-71.1281,42.4212,-1,5,553
BROOKSIDE,2.50786E+11,27,25,-71.5286,42.15,0,4,553
BROOKSIDE ELEMENTARY,2.50432E+11,17,25,-71.3378,42.6761,0,4,624
BROPHY,2.50498E+11,17,25,-71.464,42.3064,0,5,513
BROWN,2.50834E+11,17,25,-71.3852,42.2918,0,4,451
BRYANTVILLE ELEMENTARY,2.50942E+11,23,25,-70.824,42.0441,0,6,608
BRYN MAWR,2.50222E+11,27,25,-71.8451,42.2047,0,2,270
BUCKLAND-SHELBURNE REGIONAL,2.50799E+11,11,25,-72.735,42.6086,-1,6,192
BURGESS ELEMENTARY,2.51131E+11,27,25,-72.0951,42.1128,-1,6,976
BURKE/MEMORIAL ELEMENTARY SCHOOL,2.50759E+11,21,25,-71.4064,42.1423,2,4,512
BURLINGTON HIGH,2.50324E+11,17,25,-71.1981,42.4962,9,12,1135
BURNCOAT MIDDLE SCHOOL,2.51323E+11,27,25,-71.7891,42.2964,7,8,560
BURNCOAT SENIOR HIGH,2.51323E+11,27,25,-71.7887,42.2979,9,12,996
BURNCOAT STREET,2.51323E+11,27,25,-71.7928,42.3217,0,6,188
BUSINESS MANAGEMENT & FINANCE HIGH SCHOOL,2.50666E+11,9,25,-71.1456,42.6901,9,12,490
BUTTERFIELD,2.50918E+11,11,25,-72.3098,42.5874,5,6,182
BYAM SCHOOL,2.50351E+11,17,25,-71.3823,42.5732,0,4,504
C A FARLEY,2.50639E+11,17,25,-71.5751,42.3999,-1,4,526
C C BURR,2.50861E+11,17,25,-71.2421,42.3523,0,5,424
CABOT,2.50861E+11,17,25,-71.1988,42.3489,0,5,419
CALEB DUSTIN HUNKING,2.50597E+11,9,25,-71.0867,42.7593,6,8,413
CALVIN COOLIDGE,2.51077E+11,27,25,-71.7485,42.2653,0,4,389
CAMBRIDGE RINDGE AND LATIN,2.50327E+11,17,25,-71.1101,42.3739,9,12,1741
CAMBRIDGE STREET UPPER SCHOOL,2.50327E+11,17,25,-71.0915,42.371,6,8,267
CAMBRIDGEPORT,2.50327E+11,17,25,-71.0979,42.3693,-1,5,280
CAMERON MIDDLE SCHOOL,2.50498E+11,17,25,-71.3998,42.3332,6,8,513
CANTERBURY,2.51323E+11,27,25,-71.8174,42.2463,-1,6,341
CANTON HIGH,2.5033E+11,21,25,-71.1451,42.1624,9,12,853
CAPE COD LIGHTHOUSE CHARTER SCHOOL,2.50002E+11,1,25,-70.0241,41.7121,6,8,239
CAPE COD REGION VOCATIONAL TECHNICAL,2.50331E+11,1,25,-70.0757,41.7104,9,12,654
CAPT WILLIAM G SHOEMAKER,2.50711E+11,9,25,-70.9835,42.5049,-1,5,295
CAPTAIN SAMUEL BROWN,2.50936E+11,9,25,-70.9519,42.5041,0,5,390
CAPUANO EARLY CHILDHOOD CENTER,2.51089E+11,17,25,-71.087,42.3826,-1,0,365
CARLISLE SCHOOL,2.50333E+11,17,25,-71.349,42.5266,-1,8,640
