time,Check Vaccine Status,Terminal,Wait Until Exposure
1600992000000-1601078399999,0.000580268,0.0001,0.999319732
1601078400000-1601164799999,0.000536736,0.0001,0.999363264
1601164800000-1601251199999,0.000450912,0.0001,0.999449088
1601251200000-1601337599999,0.000400028,0.0001,0.999499972
1601337600000-1601423999999,0.0005207079999999999,0.0001,0.999379292
1601424000000-1601510399999,0.000473912,0.0001,0.999426088
1601510400000-1601596799999,0.0005484519999999999,0.0001,0.999351548
1601596800000-1601683199999,0.000660264,0.0001,0.999239736
1601683200000-1601769599999,0.000583656,0.0001,0.999316344
1601769600000-1601855999999,0.000429396,0.0001,0.999470604
1601856000000-1601942399999,0.00047307999999999996,0.0001,0.99942692
1601942400000-1602028799999,0.0005441760000000001,0.0001,0.999355824
1602028800000-1602115199999,0.00061344,0.0001,0.99928656
1602115200000-1602201599999,0.000704072,0.0001,0.999195928
1602201600000-1602287999999,0.0006774600000000001,0.0001,0.99922254
1602288000000-1602374399999,0.00066024,0.0001,0.99923976
1602374400000-1602460799999,0.0005524880000000001,0.0001,0.999347512
1602460800000-1602547199999,0.000501916,0.0001,0.999398084
1602547200000-1602633599999,0.00062756,0.0001,0.99927244
1602633600000-1602719999999,0.000718236,0.0001,0.999181764
1602720000000-1602806399999,0.000779504,0.0001,0.999120496
1602806400000-1602892799999,0.0008308440000000001,0.0001,0.999069156
1602892800000-1602979199999,0.000681892,0.0001,0.999218108
1602979200000-1603065599999,0.00059322,0.0001,0.99930678
1603065600000-1603151999999,0.000813624,0.0001,0.999086376
1603152000000-1603238399999,0.0007443840000000001,0.0001,0.999155616
1603238400000-1603324799999,0.0007605919999999999,0.0001,0.999139408
1603324800000-1603411199999,0.000916872,0.0001,0.998983128
1603411200000-1603497599999,0.000984432,0.0001,0.998915568
1603497600000-1603583999999,0.000994452,0.0001,0.998905548
1603584000000-1603670399999,0.000747384,0.0001,0.999152616
1603670400000-1603756799999,0.000808688,0.0001,0.999091312
1603756800000-1603843199999,0.000923264,0.0001,0.998976736
1603843200000-1603929599999,0.000954308,0.0001,0.998945692
1603929600000-1604015999999,0.0010936,0.0001,0.9988064
1604016000000-1604102399999,0.001192664,0.0001,0.998707336
1604102400000-1604188799999,0.0010784000000000002,0.0001,0.9988216
1604188800000-1604275199999,0.0012603800000000002,0.0001,0.99863962
1604275200000-1604361599999,0.001023816,0.0001,0.998876184
1604361600000-1604447999999,0.0015282919999999999,0.0001,0.998371708
1604448000000-1604534399999,0.001256068,0.0001,0.998643932
1604534400000-1604620799999,0.001554332,0.0001,0.998345668
1604620800000-1604707199999,0.001538352,0.0001,0.998361648
1604707200000-1604793599999,0.0015320440000000002,0.0001,0.998367956
1604793600000-1604879999999,0.001383752,0.0001,0.998516248
1604880000000-1604966399999,0.0014470239999999999,0.0001,0.998452976
1604966400000-1605052799999,0.001688192,0.0001,0.998211808
1605052800000-1605139199999,0.001763212,0.0001,0.998136788
1605139200000-1605225599999,0.001979484,0.0001,0.997920516
1605225600000-1605311999999,0.002167496,0.0001,0.997732504
1605312000000-1605398399999,0.002017644,0.0001,0.997882356
1605398400000-1605484799999,0.0016383279999999999,0.0001,0.998261672
1605484800000-1605571199999,0.001953928,0.0001,0.997946072
1605571200000-1605657599999,0.00196998,0.0001,0.99793002
1605657600000-1605743999999,0.002081624,0.0001,0.997818376
1605744000000-1605830399999,0.002301008,0.0001,0.997598992
1605830400000-1605916799999,0.002382988,0.0001,0.997517012
1605916800000-1606003199999,0.0021559360000000002,0.0001,0.997744064
1606003200000-1606089599999,0.0017655799999999999,0.0001,0.99813442
1606089600000-1606175999999,0.002091692,0.0001,0.997808308
1606176000000-1606262399999,0.002109176,0.0001,0.997790824
1606262400000-1606348799999,0.0022036,0.0001,0.9976964
1606348800000-1606435199999,0.001352008,0.0001,0.998547992
1606435200000-1606521599999,0.002498332,0.0001,0.997401668
1606521600000-1606607999999,0.00187028,0.0001,0.99802972
1606608000000-1606694399999,0.001686052,0.0001,0.998213948
1606694400000-1606780799999,0.001926256,0.0001,0.997973744
