time,age,gender,Infected_Early_Years,Wait_Until_Next_Infection_Check
1293840000922-1325376000921,25-34,M,0.000214000,0.999786000
1293840000922-1325376000921,25-34,F,0.000069000,0.999931000
1293840000922-1325376000921,35-44,M,0.000253000,0.999747000
1293840000922-1325376000921,35-44,F,0.000090000,0.999910000
1293840000922-1325376000921,45-54,M,0.000231000,0.999769000
1293840000922-1325376000921,45-54,F,0.000076000,0.999924000
1293840000922-1325376000921,55-150,M,0.000069000,0.999931000
1293840000922-1325376000921,55-150,F,0.000021000,0.999979000
1325376000922-1356998400921,0-12,M,0.000000185,0.999999815
1325376000922-1356998400921,0-12,F,0.000000193,0.999999807
1325376000922-1356998400921,13-24,M,0.000072000,0.999928000
1325376000922-1356998400921,13-24,F,0.000014000,0.999986000
1325376000922-1356998400921,25-34,M,0.000219000,0.999781000
1325376000922-1356998400921,25-34,F,0.000063000,0.999937000
1325376000922-1356998400921,35-44,M,0.000228000,0.999772000
1325376000922-1356998400921,35-44,F,0.000087000,0.999913000
1325376000922-1356998400921,45-54,M,0.000224000,0.999776000
1325376000922-1356998400921,45-54,F,0.000073000,0.999927000
1325376000922-1356998400921,55-150,M,0.000067000,0.999933000
1325376000922-1356998400921,55-150,F,0.000022000,0.999978000
1356998400922-1388534400921,0-12,M,0.000000149,0.999999851
1356998400922-1388534400921,0-12,F,0.000000155,0.999999845
1356998400922-1388534400921,13-24,M,0.000075000,0.999925000
1356998400922-1388534400921,13-24,F,0.000017000,0.999983000
1356998400922-1388534400921,25-34,M,0.000211000,0.999789000
1356998400922-1388534400921,25-34,F,0.000054000,0.999946000
1356998400922-1388534400921,35-44,M,0.000214000,0.999786000
1356998400922-1388534400921,35-44,F,0.000077000,0.999923000
1356998400922-1388534400921,45-54,M,0.000209000,0.999791000
1356998400922-1388534400921,45-54,F,0.000070000,0.999930000
1356998400922-1388534400921,55-150,M,0.000067000,0.999933000
1356998400922-1388534400921,55-150,F,0.000021000,0.999979000
1388534400922-1420070400921,0-12,M,0.000001302,0.999998698
1388534400922-1420070400921,0-12,F,0.000001359,0.999998641
1388534400922-1420070400921,13-24,M,0.000048000,0.999952000
1388534400922-1420070400921,13-24,F,0.000011000,0.999989000
1388534400922-1420070400921,25-34,M,0.000173000,0.999827000
1388534400922-1420070400921,25-34,F,0.000045000,0.999955000
1388534400922-1420070400921,35-44,M,0.000174000,0.999826000
1388534400922-1420070400921,35-44,F,0.000067000,0.999933000
1388534400922-1420070400921,45-54,M,0.000173000,0.999827000
1388534400922-1420070400921,45-54,F,0.000057000,0.999943000
1388534400922-1420070400921,55-150,M,0.000058000,0.999942000
1388534400922-1420070400921,55-150,F,0.000018000,0.999982000
1420070400922-1451606400921,0-12,M,0.000000775,0.999999225
1420070400922-1451606400921,0-12,F,0.000000742,0.999999258
1420070400922-1451606400921,13-24,M,0.000047000,0.999953000
1420070400922-1451606400921,13-24,F,0.000010000,0.999990000
1420070400922-1451606400921,25-34,M,0.000174000,0.999826000
1420070400922-1451606400921,25-34,F,0.000044000,0.999956000
1420070400922-1451606400921,35-44,M,0.000161000,0.999839000
1420070400922-1451606400921,35-44,F,0.000062000,0.999938000
1420070400922-1451606400921,45-54,M,0.000165000,0.999835000
1420070400922-1451606400921,45-54,F,0.000055000,0.999945000
1420070400922-1451606400921,55-150,M,0.000055000,0.999945000
1420070400922-1451606400921,55-150,F,0.000018000,0.999982000
1451606400922-1483228800921,0-12,M,0.000000705,0.999999295
1451606400922-1483228800921,0-12,F,0.000000736,0.999999264
1451606400922-1483228800921,13-24,M,0.000046000,0.999954000
1451606400922-1483228800921,13-24,F,0.000011000,0.999989000
1451606400922-1483228800921,25-34,M,0.000176000,0.999824000
1451606400922-1483228800921,25-34,F,0.000040000,0.999960000
1451606400922-1483228800921,35-44,M,0.000159000,0.999841000
1451606400922-1483228800921,35-44,F,0.000060000,0.999940000
1451606400922-1483228800921,45-54,M,0.000157000,0.999843000
1451606400922-1483228800921,45-54,F,0.000049000,0.999951000
1451606400922-1483228800921,55-150,M,0.000056000,0.999944000
1451606400922-1483228800921,55-150,F,0.000018000,0.999982000
1483228800922-1514764800921,0-12,M,0.000000660,0.999999340
1483228800922-1514764800921,0-12,F,0.000000631,0.999999369
1483228800922-1514764800921,13-24,M,0.000043000,0.999957000
1483228800922-1514764800921,13-24,F,0.000009000,0.999991000
1483228800922-1514764800921,25-34,M,0.000170000,0.999830000
1483228800922-1514764800921,25-34,F,0.000039000,0.999961000
1483228800922-1514764800921,35-44,M,0.000147000,0.999853000
1483228800922-1514764800921,35-44,F,0.000057000,0.999943000
1483228800922-1514764800921,45-54,M,0.000145000,0.999855000
1483228800922-1514764800921,45-54,F,0.000051000,0.999949000
1483228800922-1514764800921,55-150,M,0.000057000,0.999943000
1483228800922-1514764800921,55-150,F,0.000018000,0.999982000
1514764800922-1546300800921,0-12,M,0.000000783,0.999999217
1514764800922-1546300800921,0-12,F,0.000000818,0.999999182
1514764800922-1546300800921,13-24,M,0.000041000,0.999959000
1514764800922-1546300800921,13-24,F,0.000008000,0.999992000
